Job démarré sur gnode4 à Wed Feb 11 12:30:26 CET 2026
Run main_expe
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p015__g0p005__ds0p01__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-201.720001 | runtime=1.35s
  -> run QUBO_dim64_t1
     avg_score=-148.600006 | runtime=1.35s
  -> run QUBO_dim64_t2
     avg_score=-140.020004 | runtime=1.35s
  -> run QUBO_dim64_t3
     avg_score=-415.640015 | runtime=1.35s
  -> run QUBO_dim64_t4
     avg_score=-331.040009 | runtime=1.35s
  -> run QUBO_dim64_t5
     avg_score=-308.679993 | runtime=1.36s
  -> run QUBO_dim128_t0
     avg_score=-559.840027 | runtime=1.38s
  -> run QUBO_dim128_t1
     avg_score=-438.399994 | runtime=1.38s
  -> run QUBO_dim128_t2
     avg_score=-422.220001 | runtime=1.38s
  -> run QUBO_dim128_t3
     avg_score=-1160.560059 | runtime=1.38s
  -> run QUBO_dim128_t4
     avg_score=-918.320007 | runtime=1.41s
  -> run QUBO_dim128_t5
     avg_score=-873.799988 | runtime=1.38s
  -> run QUBO_dim256_t0
     avg_score=-1399.439941 | runtime=1.54s
  -> run QUBO_dim256_t1
     avg_score=-1200.560059 | runtime=1.54s
  -> run QUBO_dim256_t2
     avg_score=-1089.400024 | runtime=1.54s
  -> run QUBO_dim256_t3
     avg_score=-2864.899902 | runtime=1.54s
  -> run QUBO_dim256_t4
     avg_score=-2392.000000 | runtime=1.54s
  -> run QUBO_dim256_t5
     avg_score=-2217.100098 | runtime=1.54s
  -> run NK_dim128_t1
     avg_score=0.710830 | runtime=1.36s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.736403 | runtime=1.36s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.749912 | runtime=1.38s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.642858 | runtime=1.63s
  -> run NK_dim256_t1
     avg_score=0.703415 | runtime=1.62s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.723632 | runtime=1.65s
  -> run NK_dim256_t4
     avg_score=0.704273 | runtime=1.71s
  -> run NK_dim256_t8
     avg_score=0.588458 | runtime=2.24s
  -> run NK_dim64_t1
     avg_score=0.711980 | runtime=1.35s
     -> TOP 1
  -> run NK_dim64_t2
     avg_score=0.743553 | runtime=1.35s
  -> run NK_dim64_t4
     avg_score=0.751626 | runtime=1.36s
  -> run NK_dim64_t8
     avg_score=0.716443 | runtime=1.47s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p025__g0p015__ds0p15__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-201.419998 | runtime=1.36s
  -> run QUBO_dim64_t1
     avg_score=-150.059998 | runtime=1.35s
  -> run QUBO_dim64_t2
     avg_score=-140.259995 | runtime=1.35s
  -> run QUBO_dim64_t3
     avg_score=-415.579987 | runtime=1.35s
  -> run QUBO_dim64_t4
     avg_score=-331.899994 | runtime=1.35s
  -> run QUBO_dim64_t5
     avg_score=-310.000000 | runtime=1.36s
  -> run QUBO_dim128_t0
     avg_score=-572.299988 | runtime=1.38s
  -> run QUBO_dim128_t1
     avg_score=-439.500000 | runtime=1.38s
  -> run QUBO_dim128_t2
     avg_score=-424.579987 | runtime=1.38s
  -> run QUBO_dim128_t3
     avg_score=-1181.500000 | runtime=1.38s
  -> run QUBO_dim128_t4
     avg_score=-929.400024 | runtime=1.38s
  -> run QUBO_dim128_t5
     avg_score=-898.200012 | runtime=1.38s
  -> run QUBO_dim256_t0
     avg_score=-1543.079956 | runtime=1.54s
  -> run QUBO_dim256_t1
     avg_score=-1258.339966 | runtime=1.54s
  -> run QUBO_dim256_t2
     avg_score=-1173.239990 | runtime=1.54s
  -> run QUBO_dim256_t3
     avg_score=-3113.000000 | runtime=1.54s
  -> run QUBO_dim256_t4
     avg_score=-2494.520020 | runtime=1.54s
  -> run QUBO_dim256_t5
     avg_score=-2428.280029 | runtime=1.54s
  -> run NK_dim128_t1
     avg_score=0.710976 | runtime=1.36s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.738147 | runtime=1.36s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.756838 | runtime=1.38s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.710883 | runtime=1.63s
  -> run NK_dim256_t1
     avg_score=0.706714 | runtime=1.63s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.732995 | runtime=1.65s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.737750 | runtime=1.71s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.654745 | runtime=2.24s
  -> run NK_dim64_t1
     avg_score=0.711801 | runtime=1.35s
  -> run NK_dim64_t2
     avg_score=0.744786 | runtime=1.40s
  -> run NK_dim64_t4
     avg_score=0.755703 | runtime=1.36s
  -> run NK_dim64_t8
     avg_score=0.739808 | runtime=1.47s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p025__g0p015__ds0p15__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-200.559998 | runtime=1.35s
  -> run QUBO_dim64_t1
     avg_score=-149.360001 | runtime=1.35s
  -> run QUBO_dim64_t2
     avg_score=-139.080002 | runtime=1.35s
  -> run QUBO_dim64_t3
     avg_score=-416.239990 | runtime=1.35s
  -> run QUBO_dim64_t4
     avg_score=-330.480011 | runtime=1.36s
  -> run QUBO_dim64_t5
     avg_score=-309.880005 | runtime=1.36s
  -> run QUBO_dim128_t0
     avg_score=-555.400024 | runtime=1.38s
  -> run QUBO_dim128_t1
     avg_score=-436.420013 | runtime=1.38s
  -> run QUBO_dim128_t2
     avg_score=-416.859985 | runtime=1.38s
  -> run QUBO_dim128_t3
     avg_score=-1142.599976 | runtime=1.38s
  -> run QUBO_dim128_t4
     avg_score=-912.280029 | runtime=1.38s
  -> run QUBO_dim128_t5
     avg_score=-872.460022 | runtime=1.38s
  -> run QUBO_dim256_t0
     avg_score=-1373.719971 | runtime=1.54s
  -> run QUBO_dim256_t1
     avg_score=-1183.660034 | runtime=1.54s
  -> run QUBO_dim256_t2
     avg_score=-1062.280029 | runtime=1.54s
  -> run QUBO_dim256_t3
     avg_score=-2768.699951 | runtime=1.54s
  -> run QUBO_dim256_t4
     avg_score=-2367.600098 | runtime=1.54s
  -> run QUBO_dim256_t5
     avg_score=-2166.760010 | runtime=1.54s
  -> run NK_dim128_t1
     avg_score=0.710169 | runtime=1.36s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.735402 | runtime=1.37s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.744258 | runtime=1.38s
  -> run NK_dim128_t8
     avg_score=0.635233 | runtime=1.63s
  -> run NK_dim256_t1
     avg_score=0.702266 | runtime=1.63s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.720483 | runtime=1.64s
  -> run NK_dim256_t4
     avg_score=0.698994 | runtime=1.70s
  -> run NK_dim256_t8
     avg_score=0.585159 | runtime=2.24s
  -> run NK_dim64_t1
     avg_score=0.711685 | runtime=1.35s
  -> run NK_dim64_t2
     avg_score=0.744471 | runtime=1.36s
  -> run NK_dim64_t4
     avg_score=0.752628 | runtime=1.36s
  -> run NK_dim64_t8
     avg_score=0.709625 | runtime=1.48s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p025__g0p015__ds0p3__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-201.479996 | runtime=1.35s
  -> run QUBO_dim64_t1
     avg_score=-149.619995 | runtime=1.35s
  -> run QUBO_dim64_t2
     avg_score=-138.259995 | runtime=1.35s
  -> run QUBO_dim64_t3
     avg_score=-418.260010 | runtime=1.35s
  -> run QUBO_dim64_t4
     avg_score=-330.739990 | runtime=1.35s
  -> run QUBO_dim64_t5
     avg_score=-311.459991 | runtime=1.36s
  -> run QUBO_dim128_t0
     avg_score=-572.659973 | runtime=1.38s
  -> run QUBO_dim128_t1
     avg_score=-441.839996 | runtime=1.38s
  -> run QUBO_dim128_t2
     avg_score=-424.140015 | runtime=1.38s
  -> run QUBO_dim128_t3
     avg_score=-1183.280029 | runtime=1.38s
  -> run QUBO_dim128_t4
     avg_score=-937.940002 | runtime=1.38s
  -> run QUBO_dim128_t5
     avg_score=-895.440002 | runtime=1.38s
  -> run QUBO_dim256_t0
     avg_score=-1529.420044 | runtime=1.54s
  -> run QUBO_dim256_t1
     avg_score=-1226.280029 | runtime=1.54s
  -> run QUBO_dim256_t2
     avg_score=-1159.280029 | runtime=1.54s
  -> run QUBO_dim256_t3
     avg_score=-3046.959961 | runtime=1.54s
  -> run QUBO_dim256_t4
     avg_score=-2481.239990 | runtime=1.54s
  -> run QUBO_dim256_t5
     avg_score=-2382.820068 | runtime=1.54s
  -> run NK_dim128_t1
     avg_score=0.710705 | runtime=1.36s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737253 | runtime=1.36s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.755239 | runtime=1.38s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.700929 | runtime=1.63s
  -> run NK_dim256_t1
     avg_score=0.706510 | runtime=1.63s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.730933 | runtime=1.64s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.733363 | runtime=1.71s
  -> run NK_dim256_t8
     avg_score=0.633097 | runtime=2.24s
  -> run NK_dim64_t1
     avg_score=0.711898 | runtime=1.35s
  -> run NK_dim64_t2
     avg_score=0.745417 | runtime=1.40s
  -> run NK_dim64_t4
     avg_score=0.753214 | runtime=1.36s
  -> run NK_dim64_t8
     avg_score=0.736716 | runtime=1.48s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p025__g0p015__ds0p3__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-201.360001 | runtime=1.35s
  -> run QUBO_dim64_t1
     avg_score=-149.059998 | runtime=1.35s
  -> run QUBO_dim64_t2
     avg_score=-139.740005 | runtime=1.35s
  -> run QUBO_dim64_t3
     avg_score=-414.220001 | runtime=1.36s
  -> run QUBO_dim64_t4
     avg_score=-332.019989 | runtime=1.36s
  -> run QUBO_dim64_t5
     avg_score=-309.339996 | runtime=1.36s
  -> run QUBO_dim128_t0
     avg_score=-551.020020 | runtime=1.38s
  -> run QUBO_dim128_t1
     avg_score=-436.779999 | runtime=1.38s
  -> run QUBO_dim128_t2
     avg_score=-413.959991 | runtime=1.38s
  -> run QUBO_dim128_t3
     avg_score=-1132.439941 | runtime=1.38s
  -> run QUBO_dim128_t4
     avg_score=-915.919983 | runtime=1.38s
  -> run QUBO_dim128_t5
     avg_score=-859.640015 | runtime=1.38s
  -> run QUBO_dim256_t0
     avg_score=-1316.579956 | runtime=1.54s
  -> run QUBO_dim256_t1
     avg_score=-1143.520020 | runtime=1.54s
  -> run QUBO_dim256_t2
     avg_score=-1039.699951 | runtime=1.54s
  -> run QUBO_dim256_t3
     avg_score=-2682.100098 | runtime=1.54s
  -> run QUBO_dim256_t4
     avg_score=-2315.840088 | runtime=1.54s
  -> run QUBO_dim256_t5
     avg_score=-2097.239990 | runtime=1.54s
  -> run NK_dim128_t1
     avg_score=0.710290 | runtime=1.36s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.734584 | runtime=1.36s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.741106 | runtime=1.38s
  -> run NK_dim128_t8
     avg_score=0.624523 | runtime=1.63s
  -> run NK_dim256_t1
     avg_score=0.700565 | runtime=1.63s
  -> run NK_dim256_t2
     avg_score=0.717595 | runtime=1.64s
  -> run NK_dim256_t4
     avg_score=0.692105 | runtime=1.71s
  -> run NK_dim256_t8
     avg_score=0.581393 | runtime=2.24s
  -> run NK_dim64_t1
     avg_score=0.711683 | runtime=1.35s
  -> run NK_dim64_t2
     avg_score=0.744486 | runtime=1.35s
  -> run NK_dim64_t4
     avg_score=0.750205 | runtime=1.37s
  -> run NK_dim64_t8
     avg_score=0.700210 | runtime=1.48s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p033__g0p005__ds0p01__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-198.240005 | runtime=1.34s
  -> run QUBO_dim64_t1
     avg_score=-147.559998 | runtime=1.34s
  -> run QUBO_dim64_t2
     avg_score=-137.720001 | runtime=1.34s
  -> run QUBO_dim64_t3
     avg_score=-412.600006 | runtime=1.35s
  -> run QUBO_dim64_t4
     avg_score=-325.059998 | runtime=1.35s
  -> run QUBO_dim64_t5
     avg_score=-305.059998 | runtime=1.35s
  -> run QUBO_dim128_t0
     avg_score=-575.760010 | runtime=1.37s
  -> run QUBO_dim128_t1
     avg_score=-437.619995 | runtime=1.37s
  -> run QUBO_dim128_t2
     avg_score=-426.899994 | runtime=1.37s
  -> run QUBO_dim128_t3
     avg_score=-1177.479980 | runtime=1.37s
  -> run QUBO_dim128_t4
     avg_score=-923.679993 | runtime=1.37s
  -> run QUBO_dim128_t5
     avg_score=-906.700012 | runtime=1.37s
  -> run QUBO_dim256_t0
     avg_score=-1588.280029 | runtime=1.54s
  -> run QUBO_dim256_t1
     avg_score=-1274.560059 | runtime=1.53s
  -> run QUBO_dim256_t2
     avg_score=-1217.660034 | runtime=1.53s
  -> run QUBO_dim256_t3
     avg_score=-3218.580078 | runtime=1.53s
  -> run QUBO_dim256_t4
     avg_score=-2535.280029 | runtime=1.53s
  -> run QUBO_dim256_t5
     avg_score=-2524.260010 | runtime=1.53s
  -> run NK_dim128_t1
     avg_score=0.709460 | runtime=1.35s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.735410 | runtime=1.36s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.754311 | runtime=1.37s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.730523 | runtime=1.63s
  -> run NK_dim256_t1
     avg_score=0.706188 | runtime=1.62s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.732157 | runtime=1.64s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.744405 | runtime=1.70s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.717531 | runtime=2.23s
     -> TOP 1
  -> run NK_dim64_t1
     avg_score=0.711223 | runtime=1.35s
  -> run NK_dim64_t2
     avg_score=0.741702 | runtime=1.39s
  -> run NK_dim64_t4
     avg_score=0.749298 | runtime=1.35s
  -> run NK_dim64_t8
     avg_score=0.737066 | runtime=1.47s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p033__g0p005__ds0p01__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-197.199997 | runtime=1.35s
  -> run QUBO_dim64_t1
     avg_score=-148.399994 | runtime=1.35s
  -> run QUBO_dim64_t2
     avg_score=-137.240005 | runtime=1.34s
  -> run QUBO_dim64_t3
     avg_score=-412.839996 | runtime=1.35s
  -> run QUBO_dim64_t4
     avg_score=-327.420013 | runtime=1.35s
  -> run QUBO_dim64_t5
     avg_score=-306.540009 | runtime=1.35s
  -> run QUBO_dim128_t0
     avg_score=-571.940002 | runtime=1.37s
  -> run QUBO_dim128_t1
     avg_score=-438.700012 | runtime=1.37s
  -> run QUBO_dim128_t2
     avg_score=-425.000000 | runtime=1.37s
  -> run QUBO_dim128_t3
     avg_score=-1184.839966 | runtime=1.37s
  -> run QUBO_dim128_t4
     avg_score=-923.159973 | runtime=1.37s
  -> run QUBO_dim128_t5
     avg_score=-904.719971 | runtime=1.37s
  -> run QUBO_dim256_t0
     avg_score=-1596.640015 | runtime=1.54s
  -> run QUBO_dim256_t1
     avg_score=-1280.300049 | runtime=1.53s
  -> run QUBO_dim256_t2
     avg_score=-1224.439941 | runtime=1.53s
  -> run QUBO_dim256_t3
     avg_score=-3241.199951 | runtime=1.54s
  -> run QUBO_dim256_t4
     avg_score=-2570.659912 | runtime=1.54s
  -> run QUBO_dim256_t5
     avg_score=-2515.879883 | runtime=1.53s
  -> run NK_dim128_t1
     avg_score=0.709036 | runtime=1.35s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.734661 | runtime=1.36s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.752765 | runtime=1.37s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.730601 | runtime=1.63s
  -> run NK_dim256_t1
     avg_score=0.706115 | runtime=1.62s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.732326 | runtime=1.64s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.743304 | runtime=1.70s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.717429 | runtime=2.23s
     -> TOP 1
  -> run NK_dim64_t1
     avg_score=0.710971 | runtime=1.34s
  -> run NK_dim64_t2
     avg_score=0.742527 | runtime=1.35s
  -> run NK_dim64_t4
     avg_score=0.751077 | runtime=1.36s
  -> run NK_dim64_t8
     avg_score=0.738524 | runtime=1.47s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p033__g0p005__ds0p15__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-199.639999 | runtime=1.34s
  -> run QUBO_dim64_t1
     avg_score=-147.679993 | runtime=1.34s
  -> run QUBO_dim64_t2
     avg_score=-137.419998 | runtime=1.34s
  -> run QUBO_dim64_t3
     avg_score=-411.739990 | runtime=1.34s
  -> run QUBO_dim64_t4
     avg_score=-324.700012 | runtime=1.35s
  -> run QUBO_dim64_t5
     avg_score=-306.920013 | runtime=1.35s
  -> run QUBO_dim128_t0
     avg_score=-577.820007 | runtime=1.37s
  -> run QUBO_dim128_t1
     avg_score=-437.839996 | runtime=1.37s
  -> run QUBO_dim128_t2
     avg_score=-421.000000 | runtime=1.37s
  -> run QUBO_dim128_t3
     avg_score=-1178.479980 | runtime=1.37s
  -> run QUBO_dim128_t4
     avg_score=-929.380005 | runtime=1.37s
  -> run QUBO_dim128_t5
     avg_score=-899.119995 | runtime=1.37s
  -> run QUBO_dim256_t0
     avg_score=-1586.579956 | runtime=1.54s
  -> run QUBO_dim256_t1
     avg_score=-1266.400024 | runtime=1.53s
  -> run QUBO_dim256_t2
     avg_score=-1216.800049 | runtime=1.53s
  -> run QUBO_dim256_t3
     avg_score=-3213.320068 | runtime=1.54s
  -> run QUBO_dim256_t4
     avg_score=-2556.639893 | runtime=1.53s
  -> run QUBO_dim256_t5
     avg_score=-2527.000000 | runtime=1.54s
  -> run NK_dim128_t1
     avg_score=0.709028 | runtime=1.35s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.733706 | runtime=1.36s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.752044 | runtime=1.38s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.729991 | runtime=1.63s
  -> run NK_dim256_t1
     avg_score=0.706340 | runtime=1.62s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.732748 | runtime=1.64s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.742322 | runtime=1.70s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.716228 | runtime=2.24s
  -> run NK_dim64_t1
     avg_score=0.710875 | runtime=1.35s
  -> run NK_dim64_t2
     avg_score=0.743494 | runtime=1.39s
  -> run NK_dim64_t4
     avg_score=0.751117 | runtime=1.36s
  -> run NK_dim64_t8
     avg_score=0.741085 | runtime=1.47s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p033__g0p005__ds0p15__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-198.880005 | runtime=1.35s
  -> run QUBO_dim64_t1
     avg_score=-147.479996 | runtime=1.34s
  -> run QUBO_dim64_t2
     avg_score=-138.440002 | runtime=1.35s
  -> run QUBO_dim64_t3
     avg_score=-414.239990 | runtime=1.35s
  -> run QUBO_dim64_t4
     avg_score=-328.619995 | runtime=1.35s
  -> run QUBO_dim64_t5
     avg_score=-308.920013 | runtime=1.35s
  -> run QUBO_dim128_t0
     avg_score=-570.760010 | runtime=1.38s
  -> run QUBO_dim128_t1
     avg_score=-438.579987 | runtime=1.37s
  -> run QUBO_dim128_t2
     avg_score=-423.859985 | runtime=1.37s
  -> run QUBO_dim128_t3
     avg_score=-1177.859985 | runtime=1.37s
  -> run QUBO_dim128_t4
     avg_score=-923.719971 | runtime=1.37s
  -> run QUBO_dim128_t5
     avg_score=-889.599976 | runtime=1.37s
  -> run QUBO_dim256_t0
     avg_score=-1599.560059 | runtime=1.54s
  -> run QUBO_dim256_t1
     avg_score=-1273.280029 | runtime=1.53s
  -> run QUBO_dim256_t2
     avg_score=-1218.380005 | runtime=1.53s
  -> run QUBO_dim256_t3
     avg_score=-3250.320068 | runtime=1.54s
  -> run QUBO_dim256_t4
     avg_score=-2570.840088 | runtime=1.53s
  -> run QUBO_dim256_t5
     avg_score=-2533.580078 | runtime=1.53s
  -> run NK_dim128_t1
     avg_score=0.708983 | runtime=1.35s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.734841 | runtime=1.36s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.753874 | runtime=1.38s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.730197 | runtime=1.63s
  -> run NK_dim256_t1
     avg_score=0.706424 | runtime=1.62s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.732956 | runtime=1.64s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.743729 | runtime=1.70s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.717121 | runtime=2.24s
     -> TOP 1
  -> run NK_dim64_t1
     avg_score=0.710620 | runtime=1.34s
  -> run NK_dim64_t2
     avg_score=0.741389 | runtime=1.35s
  -> run NK_dim64_t4
     avg_score=0.750402 | runtime=1.35s
  -> run NK_dim64_t8
     avg_score=0.739051 | runtime=1.47s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p033__g0p005__ds0p3__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-201.059998 | runtime=1.35s
  -> run QUBO_dim64_t1
     avg_score=-148.660004 | runtime=1.35s
  -> run QUBO_dim64_t2
     avg_score=-138.160004 | runtime=1.34s
  -> run QUBO_dim64_t3
     avg_score=-409.359985 | runtime=1.34s
  -> run QUBO_dim64_t4
     avg_score=-328.279999 | runtime=1.35s
  -> run QUBO_dim64_t5
     avg_score=-308.880005 | runtime=1.35s
  -> run QUBO_dim128_t0
     avg_score=-573.440002 | runtime=1.37s
  -> run QUBO_dim128_t1
     avg_score=-436.380005 | runtime=1.37s
  -> run QUBO_dim128_t2
     avg_score=-423.339996 | runtime=1.37s
  -> run QUBO_dim128_t3
     avg_score=-1181.099976 | runtime=1.37s
  -> run QUBO_dim128_t4
     avg_score=-923.200012 | runtime=1.37s
  -> run QUBO_dim128_t5
     avg_score=-901.659973 | runtime=1.37s
  -> run QUBO_dim256_t0
     avg_score=-1587.119995 | runtime=1.54s
  -> run QUBO_dim256_t1
     avg_score=-1269.160034 | runtime=1.54s
  -> run QUBO_dim256_t2
     avg_score=-1221.979980 | runtime=1.53s
  -> run QUBO_dim256_t3
     avg_score=-3225.479980 | runtime=1.54s
  -> run QUBO_dim256_t4
     avg_score=-2564.500000 | runtime=1.53s
  -> run QUBO_dim256_t5
     avg_score=-2543.860107 | runtime=1.53s
  -> run NK_dim128_t1
     avg_score=0.709303 | runtime=1.35s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.734260 | runtime=1.36s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.752564 | runtime=1.38s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.732093 | runtime=1.63s
  -> run NK_dim256_t1
     avg_score=0.706289 | runtime=1.62s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.733216 | runtime=1.64s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.743258 | runtime=1.70s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.715909 | runtime=2.24s
  -> run NK_dim64_t1
     avg_score=0.710866 | runtime=1.35s
  -> run NK_dim64_t2
     avg_score=0.742021 | runtime=1.39s
  -> run NK_dim64_t4
     avg_score=0.751206 | runtime=1.36s
  -> run NK_dim64_t8
     avg_score=0.736217 | runtime=1.47s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p033__g0p005__ds0p3__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-198.479996 | runtime=1.35s
  -> run QUBO_dim64_t1
     avg_score=-146.860001 | runtime=1.34s
  -> run QUBO_dim64_t2
     avg_score=-137.779999 | runtime=1.34s
  -> run QUBO_dim64_t3
     avg_score=-415.660004 | runtime=1.35s
  -> run QUBO_dim64_t4
     avg_score=-323.600006 | runtime=1.35s
  -> run QUBO_dim64_t5
     avg_score=-306.040009 | runtime=1.35s
  -> run QUBO_dim128_t0
     avg_score=-575.159973 | runtime=1.37s
  -> run QUBO_dim128_t1
     avg_score=-437.519989 | runtime=1.37s
  -> run QUBO_dim128_t2
     avg_score=-424.640015 | runtime=1.37s
  -> run QUBO_dim128_t3
     avg_score=-1178.119995 | runtime=1.37s
  -> run QUBO_dim128_t4
     avg_score=-926.460022 | runtime=1.37s
  -> run QUBO_dim128_t5
     avg_score=-899.979980 | runtime=1.37s
  -> run QUBO_dim256_t0
     avg_score=-1592.140015 | runtime=1.54s
  -> run QUBO_dim256_t1
     avg_score=-1270.859985 | runtime=1.53s
  -> run QUBO_dim256_t2
     avg_score=-1214.420044 | runtime=1.53s
  -> run QUBO_dim256_t3
     avg_score=-3212.580078 | runtime=1.54s
  -> run QUBO_dim256_t4
     avg_score=-2574.179932 | runtime=1.53s
  -> run QUBO_dim256_t5
     avg_score=-2522.479980 | runtime=1.54s
  -> run NK_dim128_t1
     avg_score=0.709397 | runtime=1.35s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.734474 | runtime=1.36s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.754232 | runtime=1.38s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.732183 | runtime=1.63s
  -> run NK_dim256_t1
     avg_score=0.706599 | runtime=1.62s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.732335 | runtime=1.64s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.744073 | runtime=1.70s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.714219 | runtime=2.24s
  -> run NK_dim64_t1
     avg_score=0.710669 | runtime=1.35s
  -> run NK_dim64_t2
     avg_score=0.743472 | runtime=1.35s
  -> run NK_dim64_t4
     avg_score=0.749344 | runtime=1.36s
  -> run NK_dim64_t8
     avg_score=0.735225 | runtime=1.47s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p033__g0p007__ds0p01__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-200.119995 | runtime=1.35s
  -> run QUBO_dim64_t1
     avg_score=-147.860001 | runtime=1.34s
  -> run QUBO_dim64_t2
     avg_score=-138.440002 | runtime=1.35s
  -> run QUBO_dim64_t3
     avg_score=-412.040009 | runtime=1.35s
  -> run QUBO_dim64_t4
     avg_score=-327.059998 | runtime=1.35s
  -> run QUBO_dim64_t5
     avg_score=-309.260010 | runtime=1.35s
  -> run QUBO_dim128_t0
     avg_score=-576.080017 | runtime=1.37s
  -> run QUBO_dim128_t1
     avg_score=-438.260010 | runtime=1.37s
  -> run QUBO_dim128_t2
     avg_score=-425.880005 | runtime=1.37s
  -> run QUBO_dim128_t3
     avg_score=-1179.599976 | runtime=1.37s
  -> run QUBO_dim128_t4
     avg_score=-933.179993 | runtime=1.37s
  -> run QUBO_dim128_t5
     avg_score=-896.260010 | runtime=1.37s
  -> run QUBO_dim256_t0
     avg_score=-1607.939941 | runtime=1.54s
     -> TOP 1
  -> run QUBO_dim256_t1
     avg_score=-1289.020020 | runtime=1.53s
  -> run QUBO_dim256_t2
     avg_score=-1213.479980 | runtime=1.54s
